DBSCAN,Agglomerative,Affinity Propagation
"[ 1.0613918  -1.0417018   0.22521515  0.95114297 -0.77229804 -0.945462
  0.96694374 -0.9822781   0.8945047  -0.8187874   0.9220136  -0.7528637
 -0.96428114]","[-0.8301903   0.9420732  -0.08886404 -0.9396265   0.56366354  0.97141975
 -0.9855132   0.97039646 -0.8594032   0.6795997  -0.9043652   0.72482
  0.8147555 ]","[ 0.83019036 -0.9420732   0.08886401  0.9396266  -0.5636636  -0.9714198
  0.98551315 -0.9703964   0.8594031  -0.67959976  0.9043652  -0.72482
 -0.8147556 ]"
"[-0.82527936  0.8132795   1.03688    -1.050339    1.3275266   0.6658912
 -0.8520497   1.0046959  -1.4182577   1.4476831  -1.1325016   0.29511678
  1.6286013 ]","[ 0.83019036 -0.9420732   0.08886401  0.9396266  -0.5636636  -0.9714198
  0.98551315 -0.9703964   0.8594031  -0.67959976  0.9043652  -0.72482
 -0.8147556 ]","[-0.8301903   0.9420732  -0.08886404 -0.9396265   0.56366354  0.97141975
 -0.9855132   0.97039646 -0.8594032   0.6795997  -0.9043652   0.72482
  0.8147555 ]"
